algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
hilbert,16,100,180411.0,180411.0,16,187434.1875,187409.0,27026.50188048452,3168750000.0,3200000000.0,462916479.14787674,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4856250000.0,4900000000.0,285116935.075184,340300.0,340300.0,0.0,4000000000.0,4000000000.0,0.0
rcb,16,100,180411.0,180411.0,16,85634.1875,90009.0,17499.25,3066125000.0,3200000000.0,645755565.2102426,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340300.0,340300.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,16,100,180411.0,180411.0,16,85634.1875,90009.0,17499.25,3066112500.0,3200000000.0,645805287.3480262,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340300.0,340300.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,16,250,180291.0,180291.0,16,186571.6875,185759.0,27250.653978008795,3156250000.0,3200000000.0,484381048.3493341,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4850000000.0,4900000000.0,282842712.47461903,340180.0,340180.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,16,250,180291.0,180291.0,16,185821.6875,185009.0,27150.15977047833,3162500000.0,3200000000.0,486997604.374669,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4856250000.0,4900000000.0,285116935.075184,340180.0,340180.0,0.0,4000000000.0,4000000000.0,0.0
rcb,16,250,180291.0,180291.0,16,85634.1875,90009.0,17499.25,3066137500.0,3200000000.0,645705843.115372,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340180.0,340180.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,16,250,180291.0,180291.0,16,85634.1875,90009.0,17499.25,3066150000.0,3200000000.0,645656121.0634239,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340180.0,340180.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,16,500,180251.0,180251.0,16,183009.1875,183509.0,27492.43290851442,3156250000.0,3200000000.0,481620528.3553986,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4856250000.0,4900000000.0,285116935.075184,340140.0,340140.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,16,500,180251.0,180251.0,16,183884.1875,187509.0,25927.17590796383,3162500000.0,3200000000.0,486997604.374669,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4856250000.0,4900000000.0,285116935.075184,340140.0,340140.0,0.0,4000000000.0,4000000000.0,0.0
rcb,16,500,180251.0,180251.0,16,85634.1875,90009.0,17499.25,3066218750.0,3200000000.0,645382650.5453954,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340140.0,340140.0,0.0,4000000000.0,4000000000.0,0.0
