ntasks,algo,A,r,R,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,rcb,0.5,0.6,1.6,3,0,0,16384,0,2568192,2,2584576,2
2,rcb,0.5,0.6,1.6,3,1,0,0,16384,16384,1,16384,1
2,rcb,0.5,0.6,1.6,4,0,0,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,4,1,0,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,5,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,5,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,6,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,6,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,7,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,7,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,8,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,8,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,9,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,9,1,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,10,0,1,0,0,0,0,0,0
2,rcb,0.5,0.6,1.6,10,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,1,0,0,417792,0,2514944,2,2932736,2
2,rcb,0.05,0.92,1.08,1,1,0,0,417792,417792,1,417792,1
2,rcb,0.05,0.92,1.08,2,0,0,65536,0,2580480,2,2646016,2
2,rcb,0.05,0.92,1.08,2,1,0,0,65536,65536,1,65536,1
2,rcb,0.05,0.92,1.08,3,0,0,8192,0,2588672,2,2596864,2
2,rcb,0.05,0.92,1.08,3,1,0,0,8192,8192,1,8192,1
2,rcb,0.05,0.92,1.08,4,0,0,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,4,1,0,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,5,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,5,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,6,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,6,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,7,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,7,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,8,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,8,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,9,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,9,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,10,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,10,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,1,0,0,417792,0,2514944,2,2932736,2
2,rcb,0.05,0.92,1.08,1,1,0,0,417792,417792,1,417792,1
2,rcb,0.05,0.92,1.08,2,0,0,4096,0,2519040,2,2523136,2
2,rcb,0.05,0.92,1.08,2,1,0,0,4096,4096,1,4096,1
2,rcb,0.05,0.92,1.08,3,0,0,4096,0,2523136,2,2527232,2
2,rcb,0.05,0.92,1.08,3,1,0,0,4096,4096,1,4096,1
2,rcb,0.05,0.92,1.08,4,0,0,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,4,1,0,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,5,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,5,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,6,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,6,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,7,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,7,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,8,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,8,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,9,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,9,1,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,10,0,1,0,0,0,0,0,0
2,rcb,0.05,0.92,1.08,10,1,1,0,0,0,0,0,0
4,hilbert,,,,1,0,0,528752,0,1057504,2,1586256,8
4,hilbert,,,,1,1,0,351484,528752,1760472,2,2624868,14
4,hilbert,,,,1,2,0,697060,1048576,3491272,3,3139756,10
4,hilbert,,,,1,3,0,1048576,1048544,3145664,2,4194240,3
4,hilbert,,,,2,0,0,54068,0,112600,7,166668,9
4,hilbert,,,,2,1,0,46208,54068,280564,11,477696,13
4,hilbert,,,,2,2,0,0,46544,142980,8,186548,11
4,hilbert,,,,2,3,0,336,0,672,2,912,5
4,hilbert,,,,3,0,0,2440,0,38836,8,53564,7
4,hilbert,,,,3,1,0,2248,2440,20280,11,19384,10
4,hilbert,,,,3,2,0,0,2284,8284,5,49792,8
4,hilbert,,,,3,3,0,36,0,184,4,92,4
4,hilbert,,,,4,0,0,264,0,4156,6,4420,6
4,hilbert,,,,4,1,0,72,264,20408,9,18808,9
4,hilbert,,,,4,2,0,0,84,10752,6,9840,5
4,hilbert,,,,4,3,0,12,0,44,4,56,3
4,hilbert,,,,5,0,0,0,408172,889868,8,862624,9
4,hilbert,,,,5,1,0,408172,215496,1782080,14,1975396,16
4,hilbert,,,,5,2,0,215496,80920,726888,13,1146180,13
4,hilbert,,,,5,3,0,80920,0,162000,4,241640,7
4,hilbert,,,,6,0,0,365732,0,777744,9,750260,9
4,hilbert,,,,6,1,0,190320,365732,1315876,15,1401072,14
4,hilbert,,,,6,2,0,115980,190320,969340,12,911384,15
4,hilbert,,,,6,3,0,0,115980,1360336,8,393924,9
