ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
8,250,3,3,1000,36036000,1000,36036000,0,18018000
8,250,0,4,500,126126000,500,126126000,126126000,0
8,250,4,4,1000,36036000,1000,36036000,0,18018000
8,250,6,4,1000,36036000,1000,36036000,0,18018000
8,250,2,4,1000,36036000,1000,36036000,0,18018000
8,250,1,4,1000,36036000,1000,36036000,0,18018000
8,250,5,4,1000,36036000,1000,36036000,0,18018000
8,250,7,4,1000,36036000,1000,36036000,0,18018000
8,250,3,4,1000,36036000,1000,36036000,0,18018000
8,250,4,4,1000,36036000,1000,36036000,0,18018000
8,250,0,5,500,126126000,500,126126000,126126000,0
8,250,2,5,1000,36036000,1000,36036000,0,18018000
8,250,6,5,1000,36036000,1000,36036000,0,18018000
8,250,5,5,1000,36036000,1000,36036000,0,18018000
8,250,1,5,1000,36036000,1000,36036000,0,18018000
8,250,3,5,1000,36036000,1000,36036000,0,18018000
8,250,7,5,1000,36036000,1000,36036000,0,18018000
8,250,0,6,500,126126000,500,126126000,126126000,0
8,250,4,6,1000,36036000,1000,36036000,0,18018000
8,250,6,6,1000,36036000,1000,36036000,0,18018000
8,250,2,6,1000,36036000,1000,36036000,0,18018000
8,250,1,6,1000,36036000,1000,36036000,0,18018000
8,250,5,6,1000,36036000,1000,36036000,0,18018000
8,250,3,6,1000,36036000,1000,36036000,0,18018000
8,250,7,6,1000,36036000,1000,36036000,0,18018000
8,250,0,7,500,126126000,500,126126000,126126000,0
8,250,4,7,1000,36036000,1000,36036000,0,18018000
8,250,6,7,1000,36036000,1000,36036000,0,18018000
8,250,2,7,1000,36036000,1000,36036000,0,18018000
8,250,1,7,1000,36036000,1000,36036000,0,18018000
8,250,5,7,1000,36036000,1000,36036000,0,18018000
8,250,3,7,1000,36036000,1000,36036000,0,18018000
8,250,7,7,1000,36036000,1000,36036000,0,18018000
8,250,0,8,500,126126000,500,126126000,126126000,0
8,250,4,8,1000,36036000,1000,36036000,0,18018000
8,250,2,8,1000,36036000,1000,36036000,0,18018000
8,250,6,8,1000,36036000,1000,36036000,0,18018000
8,250,1,8,1000,36036000,1000,36036000,0,18018000
8,250,5,8,1000,36036000,1000,36036000,0,18018000
8,250,7,8,1000,36036000,1000,36036000,0,18018000
8,250,3,8,1000,36036000,1000,36036000,0,18018000
8,500,0,1,1002,252776288,1000,252252000,252252000,0
8,500,4,1,2000,72072000,1998,71999928,0,36036000
8,500,6,1,2000,72072000,1998,71999928,0,36036000
8,500,2,1,2000,72072000,1998,71999928,0,36036000
8,500,5,1,2000,72072000,1998,71999928,0,36036000
8,500,1,1,2000,72072000,1998,71999928,0,36036000
8,500,7,1,2000,72072000,1998,71999928,0,36036000
8,500,3,1,2000,72072000,1998,71999928,0,36036000
8,500,0,2,1000,252252000,1000,252252000,252252000,0
8,500,4,2,2000,72072000,2000,72072000,0,36036000
8,500,2,2,2000,72072000,2000,72072000,0,36036000
8,500,6,2,2000,72072000,2000,72072000,0,36036000
8,500,1,2,2000,72072000,2000,72072000,0,36036000
8,500,5,2,2000,72072000,2000,72072000,0,36036000
8,500,3,2,2000,72072000,2000,72072000,0,36036000
8,500,7,2,2000,72072000,2000,72072000,0,36036000
8,500,0,3,1000,252252000,1000,252252000,252252000,0
8,500,4,3,2000,72072000,2000,72072000,0,36036000
8,500,2,3,2000,72072000,2000,72072000,0,36036000
8,500,6,3,2000,72072000,2000,72072000,0,36036000
8,500,5,3,2000,72072000,2000,72072000,0,36036000
8,500,1,3,2000,72072000,2000,72072000,0,36036000
8,500,3,3,2000,72072000,2000,72072000,0,36036000
8,500,7,3,2000,72072000,2000,72072000,0,36036000
8,500,0,4,1000,252252000,1000,252252000,252252000,0
8,500,4,4,2000,72072000,2000,72072000,0,36036000
8,500,2,4,2000,72072000,2000,72072000,0,36036000
8,500,6,4,2000,72072000,2000,72072000,0,36036000
8,500,5,4,2000,72072000,2000,72072000,0,36036000
8,500,1,4,2000,72072000,2000,72072000,0,36036000
8,500,3,4,2000,72072000,2000,72072000,0,36036000
8,500,7,4,2000,72072000,2000,72072000,0,36036000
16,125,0,1,252,72571288,250,72047000,72047000,0
16,125,8,1,500,9876000,498,9836496,0,4938000
16,125,2,1,500,9298000,498,9260808,0,4649000
16,125,12,1,500,9876000,498,9836496,0,4938000
16,125,4,1,500,9298000,498,9260808,0,4649000
16,125,10,1,500,9876000,498,9836496,0,4938000
