algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,8,500,48064.0,48064.0,8,46638.375,47013.0,11890.880406399086,1812500000.0,1550000000.0,693721846.2755804,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,2012500000.0,2000000000.0,294897076.4763288,54028.0,54028.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,8,500,48064.0,48064.0,8,46513.375,48513.0,16361.09936873349,1812500000.0,1650000000.0,458062690.6564522,94505.25,84000.0,29713.334052239912,2000000000.0,1500000000.0,1414213562.373095,94505.25,96006.0,4244.762007462845,2025000000.0,2000000000.0,249284690.95164496,54028.0,54028.0,0.0,1700000000.0,1700000000.0,0.0
rcb,8,500,48064.0,48064.0,8,19763.375,22013.0,6362.900370507148,1512500000.0,1450000000.0,253193883.92523003,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,220389266.00773588,54028.0,54028.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,8,500,48064.0,48064.0,8,19763.375,22013.0,6362.900370507148,1512500000.0,1450000000.0,253193883.92523003,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2000000000.0,2000000000.0,220389266.00773588,54028.0,54028.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,8,1000,48060.0,48060.0,8,38513.375,39013.0,9782.557421064726,1687500000.0,1550000000.0,470372193.0556695,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,1987500000.0,2000000000.0,241646140.3433896,54024.0,54024.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,8,1000,48060.0,48060.0,8,34763.375,38013.0,11852.37473417398,1687500000.0,1500000000.0,372011904.57142246,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,2012500000.0,2000000000.0,247487373.41529164,54024.0,54024.0,0.0,1700000000.0,1700000000.0,0.0
rcb,8,1000,48060.0,48060.0,8,19763.375,22013.0,6362.900370507148,1512500000.0,1500000000.0,210017006.1141308,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,1987500000.0,2000000000.0,210017006.1141308,54024.0,54024.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,8,1000,48060.0,48060.0,8,19763.375,22013.0,6362.900370507148,1512500000.0,1500000000.0,210017006.1141308,94505.25,84000.0,29713.334052239912,1987500000.0,1500000000.0,1378858223.3137677,94505.25,96006.0,4244.762007462845,1987500000.0,2000000000.0,210017006.1141308,54024.0,54024.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,16,100,48096.0,48096.0,16,51013.1875,52213.0,14379.80715781103,1550000000.0,1300000000.0,724798822.662767,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2031250000.0,2000000000.0,252239965.11258876,102060.0,102060.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,16,100,48096.0,48096.0,16,48250.6875,47713.0,9485.897193333902,1543750000.0,1300000000.0,495269287.0213806,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2037500000.0,2000000000.0,162788205.96099707,102060.0,102060.0,0.0,1700000000.0,1700000000.0,0.0
